project	author	invariants_written	author_lines_inserted	author_lines_deleted	total_invariants	total_lines_inserted	total_lines_deleted	author_commits	total_commits
adopt-a-hydrant	maxogden	0	0	0	11	63435	48725	1	1241
adopt-a-hydrant	Martndemus	0	0	0	11	63435	48725	1	1241
adopt-a-hydrant	Ryan Resella	0	0	0	11	63435	48725	3	1241
adopt-a-hydrant	Sam Raudabaugh	0	0	0	11	63435	48725	1	1241
adopt-a-hydrant	Karla	0	0	0	11	63435	48725	1	1241
adopt-a-hydrant	Jason Jones	0	0	0	11	63435	48725	1	1241
adopt-a-hydrant	Mick Thompson	0	0	0	11	63435	48725	2	1241
adopt-a-hydrant	Michael Lawrence Evans	0	0	0	11	63435	48725	2	1241
adopt-a-hydrant	Moncef Belyamani	0	7	2	11	63435	48725	3	1241
adopt-a-hydrant	Scott Silverman	0	0	0	11	63435	48725	1	1241
adopt-a-hydrant	Dan Melton	0	0	0	11	63435	48725	1	1241
adopt-a-hydrant	Erik Michaels-Ober	11	63428	48723	11	63435	48725	1221	1241
adopt-a-hydrant	Al Snow	0	0	0	11	63435	48725	2	1241
adopt-a-hydrant	drkk	0	0	0	11	63435	48725	1	1241
alchemy_cms	Andrew Hooker	0	1	1	37	251498	227423	1	4047
alchemy_cms	Mariusz Henn	0	1	1	37	251498	227423	1	4047
alchemy_cms	Miguel Pais	0	327	27	37	251498	227423	2	4047
alchemy_cms	Christian Peters	0	184	43	37	251498	227423	2	4047
alchemy_cms	Marc Schettke	0	472	212	37	251498	227423	5	4047
alchemy_cms	Tobias Bühlmann	0	7	6	37	251498	227423	3	4047
alchemy_cms	duccioarmenise	0	0	0	37	251498	227423	1	4047
alchemy_cms	Robin Böning	8	754	431	37	251498	227423	141	4047
alchemy_cms	Martin Meyerhoff	0	939	643	37	251498	227423	9	4047
alchemy_cms	Louis-Michel Couture	0	0	0	37	251498	227423	1	4047
alchemy_cms	Thomas von Deyen	22	233970	213780	37	251498	227423	3542	4047
alchemy_cms	Niels Petersen	0	0	0	37	251498	227423	2	4047
alchemy_cms	Markus Schwed	0	6	6	37	251498	227423	6	4047
