name,commit_no,num_commits,githash,num_authors,num_lines_ruby,num_validations,num_builtin_validations,num_custom_validations,num_associations,num_before_validator_callbacks,num_after_validator_callbacks,num_models,num_locks,num_transactions,last_commit_date
adopt-a-hydrant,0,16,e595ef0,2,13414,0,0,0,2,0,0,2,0,0,Fri Feb 25 14:41:54 2011 -0500
adopt-a-hydrant,1,16,a64b783,2,13414,0,0,0,2,0,0,2,0,0,Fri Feb 25 14:27:21 2011 -0500
adopt-a-hydrant,2,16,5ae68cc,2,13414,0,0,0,2,0,0,2,0,0,Fri Feb 25 14:09:26 2011 -0500
adopt-a-hydrant,3,16,6bec632,2,13414,0,0,0,2,0,0,2,0,0,Fri Feb 25 14:08:55 2011 -0500
adopt-a-hydrant,4,16,8045f9b,2,13414,0,0,0,2,0,0,2,0,0,Fri Feb 25 14:08:44 2011 -0500
adopt-a-hydrant,5,16,c54c406,2,13414,0,0,0,2,0,0,2,0,0,Fri Feb 25 10:12:52 2011 -0500
adopt-a-hydrant,6,16,c2b335b,2,13414,0,0,0,2,0,0,2,0,0,Wed Feb 23 17:24:08 2011 -0500
adopt-a-hydrant,7,16,c14f186,2,13414,0,0,0,2,0,0,2,0,0,Wed Feb 23 16:09:48 2011 -0500
adopt-a-hydrant,8,16,1b07d05,2,13408,0,0,0,2,0,0,2,0,0,Wed Feb 23 15:50:59 2011 -0500
adopt-a-hydrant,9,16,9f70bbd,2,88,0,0,0,0,0,0,0,0,0,Wed Feb 23 15:49:57 2011 -0500
adopt-a-hydrant,10,16,49c0993,2,88,0,0,0,0,0,0,0,0,0,Wed Feb 23 10:50:30 2011 -0500
adopt-a-hydrant,11,16,666047a,2,88,0,0,0,0,0,0,0,0,0,Mon Feb 14 15:27:18 2011 -0500
adopt-a-hydrant,12,16,6d04f19,1,88,0,0,0,0,0,0,0,0,0,Mon Feb 14 13:49:00 2011 -0500
adopt-a-hydrant,13,16,c749f63,1,74,0,0,0,0,0,0,0,0,0,Mon Feb 14 13:33:05 2011 -0500
adopt-a-hydrant,14,16,c716b6e,1,72,0,0,0,0,0,0,0,0,0,Mon Feb 14 13:28:51 2011 -0500
adopt-a-hydrant,15,16,,1,72,0,0,0,0,0,0,0,0,0,Mon Feb 14 13:28:51 2011 -0500
