project, num_authors, num_lines_ruby, num_validations, num_builtin_validations, num_custom_validations, num_associations, num_before_validator_callbacks, num_after_validator_callbacks,num_commits,num_models,num_locks,num_transactions,num_validations_check,last_commit
danbooru,25,27812,71,71,0,114,53,0,3738,47,0,9,71,Sat Oct 18 02:05:51 2014 -0400
comas,5,6893,80,80,0,45,3,0,435,33,0,6,80,Tue Sep 9 12:49:08 2014 -0500
forem,106,4632,10,10,0,29,0,0,1409,12,0,0,10,Sun Oct 19 13:50:47 2014 -0500
comfortable-mexican-sofa,106,8831,35,35,0,26,4,0,1748,10,0,0,35,Mon Oct 20 15:10:11 2014 +0200
kandan,56,1533,6,6,0,8,0,0,808,5,0,0,6,Mon Oct 6 10:53:22 2014 -0400
calagator,48,8877,9,9,0,11,4,0,1766,16,0,0,9,Sun Oct 19 18:03:37 2014 -0700
railscollab,25,8799,40,40,0,122,7,0,865,29,0,6,40,Thu Feb 16 16:15:40 2012 +0000
browsercms,56,21011,47,47,0,80,11,5,2503,43,0,4,47,Tue Sep 30 18:33:18 2014 -0400
inkwell,6,6731,4,4,0,51,0,0,156,7,0,0,4,Wed Jul 16 09:52:31 2014 +0300
lovd-by-less,17,29639,27,27,0,41,0,0,150,12,0,0,27,Fri Oct 9 21:29:54 2009 -0400
opencongress,15,30040,48,48,0,357,1,0,1884,106,0,1,48,Mon Feb 11 09:23:30 2013 -0800
amahi,15,6187,38,38,0,22,1,0,577,15,0,2,38,Wed Aug 20 01:19:51 2014 -0700
boxroom,9,1924,18,18,0,12,0,0,368,6,0,0,18,Sun Oct 19 06:26:14 2014 +0900
radiant,100,15124,26,26,0,12,0,0,2385,11,0,3,26,Wed Oct 1 15:58:01 2014 -0400
fulcrum,46,3054,13,13,0,15,3,0,637,5,0,0,13,Wed Aug 20 23:23:58 2014 +1200
wallgig,6,5541,42,42,0,45,1,0,350,17,0,1,42,Sun Mar 23 15:42:19 2014 +0000
heaven,19,2083,2,2,0,2,0,0,387,2,0,0,2,Tue Oct 21 17:10:36 2014 -0700
opengovernment,15,8906,22,22,0,141,1,0,2231,28,0,4,22,Thu Nov 21 17:20:23 2013 -0500
opal,6,10643,42,42,0,96,6,0,474,41,0,3,42,Wed Jan 9 02:36:19 2013 -0700
sprintapp,5,3053,50,50,0,45,2,0,71,14,0,0,50,Wed Sep 17 07:56:30 2014 +0200
canvas-lms,132,None,366,366,0,853,35,1,12889,174,21,55,366,Wed Oct 22 00:36:32 2014 +0000
ror_ecommerce,19,16732,220,220,0,207,13,0,1604,63,3,2,220,Thu Oct 9 11:13:06 2014 -0700
refinerycms,438,10797,16,13,3,8,2,0,9112,2,0,0,16,Tue Oct 21 16:46:13 2014 +0200
enki,29,4584,5,5,0,7,3,0,562,6,0,1,5,Sun Dec 1 12:17:23 2013 -0800
citizenry,17,7939,12,12,0,45,1,0,512,13,0,0,12,Tue Apr 1 20:28:40 2014 -0700
skyline,7,10241,28,28,0,89,3,0,894,40,0,5,28,Fri Dec 6 08:12:40 2013 -0500
carter,3,1052,0,0,0,16,0,0,70,5,0,1,0,Tue Jul 22 22:29:40 2014 +0100
adopt-a-hydrant,14,14163,11,11,0,8,1,0,1242,3,0,0,11,Tue Oct 21 17:36:27 2014 +0200
communityengine,67,13796,92,92,0,101,3,0,1613,35,0,3,92,Wed Oct 15 11:06:07 2014 -0700
linuxfr.org,29,8060,50,50,0,50,13,0,2271,20,0,1,50,Tue Oct 14 21:15:19 2014 +0200
sharetribe,35,30357,115,115,0,213,12,0,7140,68,0,0,115,Tue Oct 21 15:01:54 2014 +0300
gitlab-ci,80,3650,11,11,0,13,3,0,870,5,0,2,11,Fri Oct 17 18:18:35 2014 +0200
govsgo,2,2317,11,11,0,9,0,0,302,4,0,0,11,Thu Feb 21 16:49:33 2013 -0800
selfstarter,23,574,1,1,0,4,1,0,127,3,0,0,1,Fri May 16 16:10:13 2014 -0400
obtvse,27,427,3,3,0,0,0,0,393,1,0,0,3,Wed Mar 20 16:53:03 2013 -0400
publify,93,16555,53,53,0,50,1,0,5067,35,0,7,53,Mon Oct 20 15:45:11 2014 +0200
piggybak,16,2205,51,51,0,35,1,0,383,17,0,1,51,Wed Sep 10 15:32:58 2014 -0400
sugar,13,7590,20,20,0,53,5,0,1316,11,0,1,20,Tue Oct 21 09:09:50 2014 +0200
brevidy,2,7118,74,74,0,56,9,0,6,24,0,1,74,Sat Jan 18 13:43:53 2014 -0500
salor-retail,26,18007,81,81,0,309,0,0,2259,44,0,0,81,Wed Oct 8 08:15:46 2014 +0200
insoshi,16,118619,63,63,0,164,9,7,1321,28,0,2,63,Wed Feb 24 12:12:10 2010 -0800
juvia,8,2280,11,11,0,8,3,0,202,4,0,3,11,Fri May 9 13:23:33 2014 +0200
fedena,4,48359,153,153,0,317,3,0,1471,104,0,5,153,Mon Jan 28 15:29:51 2013 +0530
teambox,48,32252,57,57,0,116,5,0,3155,22,0,2,57,Tue Sep 20 16:48:54 2011 +0100
tracks,89,17312,24,24,0,43,0,0,3121,27,0,2,24,Thu Oct 2 17:38:20 2014 -0400
tryshoppe,14,3115,58,58,0,34,7,0,349,19,0,1,58,Sat Oct 18 18:56:13 2014 +0200
lobsters,24,4927,20,20,0,40,6,0,624,12,0,8,20,Sat Oct 18 22:26:56 2014 -0500
openproject,63,82764,138,138,0,256,5,1,11185,50,1,8,138,Thu Nov 21 15:43:39 2013 +0100
spree,677,46976,105,102,3,256,16,0,14107,2,0,6,105,Tue Oct 21 09:42:53 2014 +0200
bucketwise,10,4343,11,11,0,46,0,0,258,12,0,2,11,Sun Jun 10 13:18:41 2012 -0700
nimbleshop,12,7513,47,47,0,34,4,0,1805,19,0,0,47,Tue Feb 19 01:01:12 2013 -0500
chiliproject,53,64512,118,118,0,130,3,0,5532,61,0,7,118,Tue Aug 13 14:43:58 2013 +0200
bostonrb,40,2128,18,18,0,12,1,0,889,7,0,0,18,Thu Oct 16 19:58:13 2014 -0400
diaspora,388,31361,78,78,0,128,9,1,14640,63,0,2,78,Fri Oct 3 17:12:11 2014 +0200
onebody,33,19867,97,97,0,140,3,2,3976,36,0,3,97,Tue Oct 21 21:41:27 2014 -0500
discourse,440,71338,93,91,2,269,8,0,11502,81,0,41,93,Wed Oct 22 15:50:04 2014 +1100
copycopter-server,9,2267,7,7,0,14,2,0,46,6,0,1,7,Thu Jun 28 08:46:49 2012 -0400
squaresquash,28,15663,87,87,0,62,9,0,231,19,0,6,87,Mon Sep 15 19:03:24 2014 -0700
zena,7,55694,12,12,0,43,35,0,2514,44,0,1,12,Mon Aug 18 21:00:27 2014 +0200
spot-us,46,92737,96,96,0,167,6,0,9280,61,0,0,96,Mon Dec 2 15:03:08 2013 -0600
jobsworth,46,24469,87,87,0,225,3,1,7890,55,0,10,87,Sat Sep 13 15:00:47 2014 +1000
fat_free_crm,99,20754,41,41,0,93,0,1,4144,21,0,3,41,Fri Oct 17 13:21:33 2014 +0100
rucksack,7,5309,18,18,0,79,1,0,445,17,0,3,18,Sat Oct 5 09:19:51 2013 +0100
alchemy_cms,34,19097,38,38,0,42,1,0,4222,26,1,2,38,Sat Oct 18 16:37:47 2014 +0200
gitlabhq,672,37671,133,133,0,114,4,0,12319,24,0,15,133,Tue Oct 21 14:26:10 2014 +0300
redmine,10,79483,132,132,0,158,4,0,11049,74,0,11,132,Tue Oct 21 20:53:07 2014 +0000
saasy,2,161092,41,41,0,117,9,7,21,12,0,5,41,Mon Aug 3 15:52:20 2009 +0100
